;id;scientific.name;accepted.name;family;taxon.rank;taxon.status;search.str;threat.status.cnc;threat.status.mma;threat.status.mma2022;life.form;habitat;vegetation.type;vernacular.name;occurrence;establishment;domain;endemism
4552;12198;Sarcoglottis uliginosa Barb.Rodr.;NA;Orchidaceae;species;accepted;Sarcoglottis uliginosa;NA;NA;NA;Herb;Terrestrial;Campo Limpo|Cerrado (lato sensu);NA;BR-DF|BR-GO|BR-MG|BR-MS|BR-PR|BR-RS|BR-SC|BR-SP|BR-TO;native;Cerrado|Mata Atlantica;Non Endemic
4557;19941;Sauvagesia erecta L.;NA;Ochnaceae;species;accepted;Sauvagesia erecta;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga|Savana Amazonica;NA;BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica;Non Endemic
4561;12210;Scaphyglottis livida (Lindl.) Schltr.;NA;Orchidaceae;species;accepted;Scaphyglottis livida;NA;NA;NA;Herb;Epiphyte|Rupicolous;Caatinga (stricto sensu)|Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Ombrofila (= Floresta Pluvial)|Vegetacao Sobre Afloramentos Rochosos;NA;BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PB|BR-PE|BR-RJ|BR-RN;native;Cerrado|Mata Atlantica;Non Endemic
4564;43260;Didymopanax macrocarpus (Cham. & Schltdl.) Seem.;NA;Araliaceae;species;accepted;Didymopanax macrocarpus;NA;NA;NA;Shrub|Tree;Terrestrial;Campo rupestre|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MT|BR-SP;native;Cerrado|Mata Atlantica;Endemic
4565;43285;Didymopanax vinosus (Cham. & Schltdl.) Marchal;NA;Araliaceae;species;accepted;Didymopanax vinosus;NA;NA;NA;Shrub;Terrestrial;Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria;NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-PR|BR-SP;native;NA;Endemic
4566;97639;Schiffneriolejeunea polycarpa (Nees) Gradst.;NA;Lejeuneaceae;species;accepted;Schiffneriolejeunea polycarpa;NA;NA;NA;Weft;Corticicola|Epixila;Area Antropica|Caatinga (stricto sensu)|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta de Varzea|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Restinga;NA;BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-RJ|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pantanal;Non Endemic
4568;15471;Schinus terebinthifolia Raddi;Schinus terebinthifolius Raddi;Anacardiaceae;species;accepted;Schinus terebinthifolia;NA;NA;NA;Shrub|Tree;Terrestrial;Area Antropica|Campo Limpo|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista|Manguezal|Restinga;aroeira-da-praia/PORTUGUES/Bahia | aroeira-de-remedio/PORTUGUES/Bahia | aroeira-mansa/PORTUGUES/sudeste | aroeira-vermelha/PORTUGUES/Bahia | aroeira/PORTUGUES/Brasil;BR-AL|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO;native;Caatinga|Cerrado|Mata Atlantica|Pampa;Non Endemic
4570;20493;Schizachyrium condensatum (Kunth) Nees;NA;Poaceae;species;accepted;Schizachyrium condensatum;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo|Cerrado (lato sensu);NA;BR-BA|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PR|BR-RS|BR-SC|BR-SP;native;Cerrado|Mata Atlantica|Pampa;Non Endemic
4571;32349;Schizachyrium microstachyum (Desv. ex Ham.) Roseng., B.R.Arrill. & Izag.;NA;Poaceae;species;accepted;Schizachyrium microstachyum;NA;NA;NA;Herb;Terrestrial;Area Antropica|Campo de Altitude|Campo de Varzea|Campo Limpo|Cerrado (lato sensu)|Restinga;NA;BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO;native;Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal;Non Endemic
4572;13579;Schizachyrium spicatum (Spreng.) Herter;NA;Poaceae;species;accepted;Schizachyrium spicatum;NA;NA;NA;Herb;Terrestrial;Campo de Altitude|Campo Limpo;NA;BR-PR|BR-RJ|BR-RS|BR-SC;native;Mata Atlantica|Pampa;Non Endemic
